Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
          4.8,      6.904578, ,           4.8,      7.755115, ,           4.8,      4.290406, ,           4.8,      8.027395, ,           4.8,      8.117344, ,           4.8,      8.132092, ,           4.8,      8.200978, ,           4.8,       8.22842, ,           4.8,      8.242301, ,           4.8,      4.540731, ,           4.8,      5.060433, ,           4.8,      5.915534, ,           4.8,      6.066012, , 
            5,       6.80302, ,             5,      7.700568, ,             5,      4.242788, ,             5,      7.980771, ,             5,      8.072296, ,             5,      8.087273, ,             5,        8.1571, ,             5,      8.184841, ,             5,      8.198874, ,             5,      4.476533, ,             5,      4.961406, ,             5,      5.815844, ,             5,      5.965063, , 
          5.2,      6.693205, ,           5.2,      7.644153, ,           5.2,      4.190894, ,           5.2,      7.933333, ,           5.2,      8.026536, ,           5.2,      8.041741, ,           5.2,      8.112545, ,           5.2,      8.140625, ,           5.2,      8.154822, ,           5.2,      4.405331, ,           5.2,      4.850835, ,           5.2,       5.71584, ,           5.2,      5.862544, , 
          5.4,      6.575707, ,           5.4,      7.585397, ,           5.4,      4.138762, ,           5.4,      7.885208, ,           5.4,      7.980121, ,           5.4,      7.995534, ,           5.4,      8.067265, ,           5.4,      8.095685, ,           5.4,      8.110036, ,           5.4,      4.334021, ,           5.4,      4.741032, ,           5.4,      5.615031, ,           5.4,      5.758155, , 
          5.6,      6.452966, ,           5.6,      7.524035, ,           5.6,       4.08987, ,           5.6,      7.836184, ,           5.6,      7.932992, ,           5.6,      7.948627, ,           5.6,      8.021315, ,           5.6,       8.05007, ,           5.6,      8.064566, ,           5.6,      4.268101, ,           5.6,      4.641015, ,           5.6,      5.513076, ,           5.6,      5.652028, , 
          5.8,      6.326467, ,           5.8,      7.459626, ,           5.8,      4.044509, ,           5.8,      7.786121, ,           5.8,       7.88503, ,           5.8,      7.900938, ,           5.8,      7.974634, ,           5.8,      8.003638, ,           5.8,      8.018251, ,           5.8,       4.20792, ,           5.8,      4.550928, ,           5.8,      5.407968, ,           5.8,      5.542727, , 
            6,      6.197681, ,             6,      7.390425, ,             6,      4.002853, ,             6,      7.735034, ,             6,      7.836201, ,             6,      7.852392, ,             6,      7.927101, ,             6,      7.956329, ,             6,      7.971055, ,             6,      4.153664, ,             6,      4.470975, ,             6,      5.303389, ,             6,        5.4337, , 
          6.2,      6.067124, ,           6.2,      7.314791, ,           6.2,      3.963721, ,           6.2,         7.683, ,           6.2,      7.786495, ,           6.2,      7.802913, ,           6.2,      7.878625, ,           6.2,      7.908215, ,           6.2,      7.923104, ,           6.2,       4.10333, ,           6.2,       4.39742, ,           6.2,      5.195917, ,           6.2,      5.322218, , 
          6.4,      5.933988, ,           6.4,      7.228779, , , , ,           6.4,      7.629557, ,           6.4,      7.735654, ,           6.4,      7.752342, ,           6.4,      7.829194, ,           6.4,      7.859168, ,           6.4,      7.874233, , , , ,           6.4,      4.329103, ,           6.4,       5.06844, ,           6.4,      5.193759, , 
          6.6,      5.794119, ,           6.6,      7.128934, , , , ,           6.6,      7.574595, ,           6.6,      7.683673, ,           6.6,      7.700686, ,           6.6,      7.778765, ,           6.6,      7.809058, ,           6.6,      7.824289, , , , ,           6.6,       4.26218, ,           6.6,      4.872253, ,           6.6,      5.006062, , 
          6.8,       5.65067, ,           6.8,      7.020214, , , , ,           6.8,      7.517925, ,           6.8,      7.630379, ,           6.8,       7.64772, ,           6.8,      7.727164, ,           6.8,        7.7579, ,           6.8,       7.77335, , , , ,           6.8,       4.19958, ,           6.8,      4.729449, ,           6.8,      4.863646, , 
            7,      5.509465, ,             7,      6.905676, , , , ,             7,      7.459107, ,             7,      7.575411, ,             7,      7.593199, ,             7,      7.674452, ,             7,      7.705748, ,             7,       7.72145, , , , , , , , , , , , , , 
, , ,           7.2,      6.784468, , , , ,           7.2,      7.397599, ,           7.2,      7.518747, ,           7.2,      7.537036, ,           7.2,       7.62027, ,           7.2,      7.652142, ,           7.2,      7.668126, , , , , , , , , , , , , , 
, , ,           7.4,      6.648139, , , , ,           7.4,      7.332866, ,           7.4,      7.459839, ,           7.4,      7.478711, ,           7.4,      7.564425, ,           7.4,      7.597134, ,           7.4,      7.613513, , , , , , , , , , , , , , 
, , ,           7.6,      6.409824, , , , ,           7.6,      7.263662, ,           7.6,       7.39843, ,           7.6,      7.418041, ,           7.6,      7.506714, ,           7.6,      7.540313, ,           7.6,      7.557125, , , , , , , , , , , , , , 
, , , , , , , , ,           7.8,      7.188436, ,           7.8,      7.333675, ,           7.8,      7.354217, ,           7.8,      7.446617, ,           7.8,      7.481329, ,           7.8,      7.498698, , , , , , , , , , , , , , 

